Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
2021-11-18;06:00:00;0.00;G
2021-11-19;06:00:00;0.00;G
2021-11-20;06:00:00;0.00;G
2021-11-21;06:00:00;0.00;G
2021-11-22;06:00:00;0.00;G
2021-11-23;06:00:00;0.00;G
2021-11-24;06:00:00;0.00;G
2021-11-25;06:00:00;0.00;G
2021-11-26;06:00:00;0.00;G
2021-11-27;06:00:00;0.00;G
2021-11-28;06:00:00;0.00;G
2021-11-29;06:00:00;0.00;G
2021-11-30;06:00:00;0.00;G
2021-12-01;06:00:00;0.00;G
2021-12-02;06:00:00;0.00;G
2021-12-03;06:00:00;0.00;G
2021-12-04;06:00:00;0.00;G
2021-12-05;06:00:00;0.00;G
2021-12-06;06:00:00;0.00;G
2021-12-07;06:00:00;0.02;G
2021-12-08;06:00:00;0.02;G
2021-12-09;06:00:00;0.00;G
2021-12-10;06:00:00;0.03;G
2021-12-11;06:00:00;0.00;G
2021-12-12;06:00:00;0.00;G
2021-12-13;06:00:00;0.00;G
2021-12-14;06:00:00;0.00;G
2021-12-15;06:00:00;0.00;G
2021-12-16;06:00:00;0.00;G
2021-12-17;06:00:00;0.00;G
2021-12-18;06:00:00;0.00;G
2021-12-19;06:00:00;0.00;G
2021-12-20;06:00:00;0.00;G
2021-12-21;06:00:00;0.00;G
2021-12-22;06:00:00;0.01;G
2021-12-23;06:00:00;0.01;G
2021-12-24;06:00:00;0.02;G
2021-12-25;06:00:00;0.02;G
2021-12-26;06:00:00;0.03;G
2021-12-27;06:00:00;0.03;G
2021-12-28;06:00:00;0.03;G
2021-12-29;06:00:00;0.08;G
2021-12-30;06:00:00;0.13;G
2021-12-31;06:00:00;0.00;G
2022-01-01;06:00:00;0.00;G
2022-01-02;06:00:00;0.00;G
2022-01-03;06:00:00;0.00;G
2022-01-04;06:00:00;0.00;G
2022-01-05;06:00:00;0.00;G
2022-01-06;06:00:00;0.00;G
2022-01-07;06:00:00;0.00;G
2022-01-08;06:00:00;0.04;G
2022-01-09;06:00:00;0.06;G
2022-01-10;06:00:00;0.05;G
2022-01-11;06:00:00;0.04;G
2022-01-12;06:00:00;0.02;G
2022-01-13;06:00:00;0.00;G
2022-01-14;06:00:00;0.00;G
2022-01-15;06:00:00;0.00;G
2022-01-16;06:00:00;0.00;G
2022-01-17;06:00:00;0.00;G
2022-01-18;06:00:00;0.00;G
2022-01-19;06:00:00;0.00;G
2022-01-20;06:00:00;0.01;G
2022-01-21;06:00:00;0.00;G
2022-01-22;06:00:00;0.00;G
2022-01-23;06:00:00;0.00;G
2022-01-24;06:00:00;0.00;G
2022-01-25;06:00:00;0.00;G
2022-01-26;06:00:00;0.00;G
2022-01-27;06:00:00;0.00;G
2022-01-28;06:00:00;0.00;G
2022-01-29;06:00:00;0.00;G
2022-01-30;06:00:00;0.00;G
2022-01-31;06:00:00;0.00;G
2022-02-01;06:00:00;0.02;G
2022-02-02;06:00:00;0.05;G
2022-02-03;06:00:00;0.05;G
2022-02-04;06:00:00;0.00;G
2022-02-05;06:00:00;0.00;G
2022-02-06;06:00:00;0.00;G
2022-02-07;06:00:00;0.00;G
2022-02-08;06:00:00;0.00;G
2022-02-09;06:00:00;0.00;G
2022-02-10;06:00:00;0.00;G
2022-02-11;06:00:00;0.00;G
2022-02-12;06:00:00;0.00;G
2022-02-13;06:00:00;0.00;G
2022-02-14;06:00:00;0.00;G
2022-02-15;06:00:00;0.00;G
2022-02-16;06:00:00;0.00;G
2022-02-17;06:00:00;0.00;G
2022-02-18;06:00:00;0.00;G
2022-02-19;06:00:00;0.10;G
2022-02-20;06:00:00;0.09;G
2022-02-21;06:00:00;0.14;G
2022-02-22;06:00:00;0.15;G
2022-02-23;06:00:00;0.07;G
2022-02-24;06:00:00;0.07;G
2022-02-25;06:00:00;0.04;G
2022-02-26;06:00:00;0.00;G
2022-02-27;06:00:00;0.00;G
2022-02-28;06:00:00;0.00;G
2022-03-01;06:00:00;0.00;G
2022-03-02;06:00:00;0.00;G
2022-03-03;06:00:00;0.00;G
2022-03-04;06:00:00;0.00;G
2022-03-05;06:00:00;0.00;G
2022-03-06;06:00:00;0.00;G
2022-03-07;06:00:00;0.00;G
2022-03-08;06:00:00;0.00;G
2022-03-09;06:00:00;0.00;G
2022-03-10;06:00:00;0.00;G
2022-03-11;06:00:00;0.00;G
2022-03-12;06:00:00;0.00;G
2022-03-13;06:00:00;0.00;G
2022-03-14;06:00:00;0.00;G
2022-03-15;06:00:00;0.00;G
2022-03-16;06:00:00;0.00;G
2022-03-17;06:00:00;0.00;G
2022-03-18;06:00:00;0.00;G
2022-03-19;06:00:00;0.00;G
2022-03-20;06:00:00;0.00;G
2022-03-21;06:00:00;0.00;G
2022-03-22;06:00:00;0.00;G
2022-03-23;06:00:00;0.00;G
2022-03-24;06:00:00;0.00;G
2022-03-25;06:00:00;0.00;G
2022-03-26;06:00:00;0.00;G
2022-03-27;06:00:00;0.00;G
2022-03-28;06:00:00;0.00;G
2022-03-29;06:00:00;0.00;G
2022-03-30;06:00:00;0.00;G
2022-03-31;06:00:00;0.00;G
2022-04-01;06:00:00;0.00;G
2022-04-02;06:00:00;0.00;G
2022-04-03;06:00:00;0.00;G
2022-04-04;06:00:00;0.00;G
2022-04-05;06:00:00;0.00;G
2022-04-06;06:00:00;0.00;G
2022-04-07;06:00:00;0.00;G
2022-04-08;06:00:00;0.03;G
2022-04-09;06:00:00;0.08;G
2022-04-10;06:00:00;0.00;G
2022-04-11;06:00:00;0.00;G
2022-04-12;06:00:00;0.00;G
2022-04-13;06:00:00;0.00;G
2022-04-14;06:00:00;0.00;G
2022-04-15;06:00:00;0.00;G
2022-04-16;06:00:00;0.00;G
2022-04-17;06:00:00;0.00;G
2022-04-18;06:00:00;0.00;G
2022-04-19;06:00:00;0.00;G
2022-04-20;06:00:00;0.00;G
2022-04-21;06:00:00;0.00;G
2022-04-22;06:00:00;0.00;G
2022-04-23;06:00:00;0.00;G
2022-04-24;06:00:00;0.00;G
2022-04-25;06:00:00;0.00;G
2022-04-26;06:00:00;0.00;G
2022-04-27;06:00:00;0.00;G
2022-04-28;06:00:00;0.00;G
2022-04-29;06:00:00;0.00;G
2022-04-30;06:00:00;0.00;G
2022-05-01;06:00:00;0.00;G
2022-05-02;06:00:00;0.00;G
2022-05-03;06:00:00;0.00;G
2022-05-04;06:00:00;0.00;G
2022-05-05;06:00:00;0.00;G
2022-05-06;06:00:00;0.00;G
2022-05-07;06:00:00;0.00;G
2022-05-08;06:00:00;0.00;G
2022-05-09;06:00:00;0.00;G
2022-05-10;06:00:00;0.00;G
2022-05-11;06:00:00;0.00;G
2022-05-12;06:00:00;0.00;G
2022-05-13;06:00:00;0.00;G
2022-05-14;06:00:00;0.00;G
2022-05-15;06:00:00;0.00;G
2022-05-16;06:00:00;0.00;G
2022-05-17;06:00:00;0.00;G
2022-05-18;06:00:00;0.00;G
2022-05-19;06:00:00;0.00;G
2022-05-20;06:00:00;0.00;G
2022-05-21;06:00:00;0.00;G
2022-05-22;06:00:00;0.00;G
2022-05-23;06:00:00;0.00;G
2022-05-24;06:00:00;0.00;G
2022-05-25;06:00:00;0.00;G
2022-05-26;06:00:00;0.00;G
2022-05-27;06:00:00;0.00;G
2022-05-28;06:00:00;0.00;G
2022-05-29;06:00:00;0.00;G
2022-05-30;06:00:00;0.00;G
2022-05-31;06:00:00;0.00;G
2022-06-01;06:00:00;0.00;G
2022-06-02;06:00:00;0.00;G
2022-06-03;06:00:00;0.00;G
2022-06-04;06:00:00;0.00;G
2022-06-05;06:00:00;0.00;G
2022-06-06;06:00:00;0.00;G
2022-06-07;06:00:00;0.00;G
2022-06-08;06:00:00;0.00;G
2022-06-09;06:00:00;0.00;G
2022-06-10;06:00:00;0.00;G
2022-06-11;06:00:00;0.00;G
2022-06-12;06:00:00;0.00;G
2022-06-13;06:00:00;0.00;G
2022-06-14;06:00:00;0.00;G
2022-06-15;06:00:00;0.00;G
2022-06-16;06:00:00;0.00;G
2022-06-17;06:00:00;0.00;G
2022-06-18;06:00:00;0.00;G
2022-06-19;06:00:00;0.00;G
2022-06-20;06:00:00;0.00;G
2022-06-21;06:00:00;0.00;G
2022-06-22;06:00:00;0.00;G
2022-06-23;06:00:00;0.00;G
2022-06-24;06:00:00;0.00;G
2022-06-25;06:00:00;0.00;G
2022-06-26;06:00:00;0.00;G
2022-06-27;06:00:00;0.00;G
2022-06-28;06:00:00;0.00;G
2022-06-29;06:00:00;0.00;G
2022-06-30;06:00:00;0.00;G
2022-07-01;06:00:00;0.00;G
2022-07-02;06:00:00;0.00;G
2022-07-03;06:00:00;0.00;G
2022-07-04;06:00:00;0.00;G
2022-07-05;06:00:00;0.00;G
2022-07-06;06:00:00;0.00;G
2022-07-07;06:00:00;0.00;G
2022-07-08;06:00:00;0.00;G
2022-07-09;06:00:00;0.00;G
2022-07-10;06:00:00;0.00;G
2022-07-11;06:00:00;0.00;G
2022-07-12;06:00:00;0.00;Y
2022-07-13;06:00:00;0.00;G
2022-07-14;06:00:00;0.00;G
2022-07-15;06:00:00;0.00;G
2022-07-16;06:00:00;0.00;G
2022-07-17;06:00:00;0.00;G
2022-07-18;06:00:00;0.00;G
2022-07-19;06:00:00;0.00;G
2022-07-20;06:00:00;0.00;G
2022-07-21;06:00:00;0.00;G
2022-07-22;06:00:00;0.00;G
2022-07-23;06:00:00;0.00;G
2022-07-24;06:00:00;0.00;G
2022-07-25;06:00:00;0.00;G
2022-07-26;06:00:00;0.00;G
2022-07-27;06:00:00;0.00;G
2022-07-28;06:00:00;0.00;G
2022-07-29;06:00:00;0.00;G
2022-07-30;06:00:00;0.00;G
2022-07-31;06:00:00;0.00;G
2022-08-01;06:00:00;0.00;G
2022-08-02;06:00:00;0.00;G
2022-08-03;06:00:00;0.00;G
2022-08-04;06:00:00;0.00;G
2022-08-05;06:00:00;0.00;G
2022-08-06;06:00:00;0.00;G
2022-08-07;06:00:00;0.00;G
2022-08-08;06:00:00;0.00;G
2022-08-09;06:00:00;0.00;G
2022-08-10;06:00:00;0.00;G
2022-08-11;06:00:00;0.00;G
2022-08-12;06:00:00;0.00;G
2022-08-13;06:00:00;0.00;G
2022-08-14;06:00:00;0.00;G
2022-08-15;06:00:00;0.00;G
2022-08-16;06:00:00;0.00;G
2022-08-17;06:00:00;0.00;G
2022-08-18;06:00:00;0.00;G
2022-08-19;06:00:00;0.00;G
2022-08-20;06:00:00;0.00;G
2022-08-21;06:00:00;0.00;G
2022-08-22;06:00:00;0.00;G
2022-08-23;06:00:00;0.00;G
2022-08-24;06:00:00;0.00;G
2022-08-25;06:00:00;0.00;G
2022-08-26;06:00:00;0.00;G
2022-08-27;06:00:00;0.00;G
2022-08-28;06:00:00;0.00;G
2022-08-29;06:00:00;0.00;G
2022-08-30;06:00:00;0.00;G
2022-08-31;06:00:00;0.00;G
2022-09-01;06:00:00;0.00;G
2022-09-02;06:00:00;0.00;G
2022-09-03;06:00:00;0.00;G
2022-09-04;06:00:00;0.00;G
2022-09-05;06:00:00;0.00;G
2022-09-06;06:00:00;0.00;G
2022-09-07;06:00:00;0.00;G
2022-09-08;06:00:00;0.00;G
2022-09-09;06:00:00;0.00;G
2022-09-10;06:00:00;0.00;G
2022-09-11;06:00:00;0.00;G
2022-09-12;06:00:00;0.00;G
2022-09-13;06:00:00;0.00;G
2022-09-14;06:00:00;0.00;G
2022-09-15;06:00:00;0.00;G
2022-09-16;06:00:00;0.00;G
2022-09-17;06:00:00;0.00;G
2022-09-18;06:00:00;0.00;G
2022-09-19;06:00:00;0.00;G
2022-09-20;06:00:00;0.00;G
2022-09-21;06:00:00;0.00;G
2022-09-22;06:00:00;0.00;G
2022-09-23;06:00:00;0.00;G
2022-09-24;06:00:00;0.00;G
2022-09-25;06:00:00;0.00;G
2022-09-26;06:00:00;0.00;G
2022-09-27;06:00:00;0.00;G
2022-09-28;06:00:00;0.00;G
2022-09-29;06:00:00;0.00;G
2022-09-30;06:00:00;0.00;G
2022-10-01;06:00:00;0.00;G
2022-10-02;06:00:00;0.00;G
2022-10-03;06:00:00;0.00;G
2022-10-04;06:00:00;0.00;G
2022-10-05;06:00:00;0.00;G
2022-10-06;06:00:00;0.00;G
2022-10-07;06:00:00;0.00;G
2022-10-08;06:00:00;0.00;G
2022-10-09;06:00:00;0.00;G
2022-10-10;06:00:00;0.00;G
2022-10-11;06:00:00;0.00;G
2022-10-12;06:00:00;0.00;G
2022-10-13;06:00:00;0.00;G
2022-10-14;06:00:00;0.00;G
2022-10-15;06:00:00;0.00;G
2022-10-16;06:00:00;0.00;G
2022-10-17;06:00:00;0.00;G
2022-10-18;06:00:00;0.00;G
2022-10-19;06:00:00;0.00;G
2022-10-20;06:00:00;0.00;G
2022-10-21;06:00:00;0.00;G
2022-10-22;06:00:00;0.00;G
2022-10-23;06:00:00;0.00;G
2022-10-24;06:00:00;0.00;G
2022-10-25;06:00:00;0.00;G
2022-10-26;06:00:00;0.00;G
2022-10-27;06:00:00;0.00;G
2022-10-28;06:00:00;0.00;G
2022-10-29;06:00:00;0.00;G
2022-10-30;06:00:00;0.00;G
2022-10-31;06:00:00;0.00;G
2022-11-01;06:00:00;0.00;G
2022-11-02;06:00:00;0.00;G
2022-11-03;06:00:00;0.00;G
2022-11-04;06:00:00;0.00;G
2022-11-05;06:00:00;0.00;G
2022-11-06;06:00:00;0.00;G
2022-11-07;06:00:00;0.00;G
2022-11-08;06:00:00;0.00;G
2022-11-09;06:00:00;0.00;G
2022-11-10;06:00:00;0.00;G
2022-11-11;06:00:00;0.00;G
2022-11-12;06:00:00;0.00;G
2022-11-13;06:00:00;0.00;G
2022-11-14;06:00:00;0.00;G
2022-11-15;06:00:00;0.00;G
2022-11-16;06:00:00;0.00;G
2022-11-17;06:00:00;0.00;G
2022-11-18;06:00:00;0.00;G
2022-11-19;06:00:00;0.00;G
2022-11-20;06:00:00;0.00;G
2022-11-21;06:00:00;0.05;G
2022-11-22;06:00:00;0.05;G
2022-11-23;06:00:00;0.00;G
2022-11-24;06:00:00;0.00;G
2022-11-25;06:00:00;0.00;G
2022-11-26;06:00:00;0.00;G
2022-11-27;06:00:00;0.00;G
2022-11-28;06:00:00;0.00;G
2022-11-29;06:00:00;0.00;G
2022-11-30;06:00:00;0.00;G
2022-12-01;06:00:00;0.00;G
2022-12-02;06:00:00;0.00;G
2022-12-03;06:00:00;0.00;G
2022-12-04;06:00:00;0.00;G
2022-12-05;06:00:00;0.00;G
2022-12-06;06:00:00;0.00;G
2022-12-07;06:00:00;0.00;G
2022-12-08;06:00:00;0.00;G
2022-12-09;06:00:00;0.05;G
2022-12-10;06:00:00;0.05;G
2022-12-11;06:00:00;0.04;G
2022-12-12;06:00:00;0.04;G
2022-12-13;06:00:00;0.04;G
2022-12-14;06:00:00;0.08;G
2022-12-15;06:00:00;0.05;G
2022-12-16;06:00:00;0.06;G
2022-12-17;06:00:00;0.04;G
2022-12-18;06:00:00;0.02;G
2022-12-19;06:00:00;0.00;G
2022-12-20;06:00:00;0.00;G
2022-12-21;06:00:00;0.00;G
2022-12-22;06:00:00;0.00;G
2022-12-23;06:00:00;0.00;G
2022-12-24;06:00:00;0.01;G
2022-12-25;06:00:00;0.00;G
2022-12-26;06:00:00;0.00;G
2022-12-27;06:00:00;0.00;G
2022-12-28;06:00:00;0.00;G
2022-12-29;06:00:00;0.00;G
2022-12-30;06:00:00;0.00;G
2022-12-31;06:00:00;0.00;G
2023-01-01;06:00:00;0.00;G
2023-01-02;06:00:00;0.00;G
2023-01-03;06:00:00;0.01;G
2023-01-04;06:00:00;0.02;G
2023-01-05;06:00:00;0.18;G
2023-01-06;06:00:00;0.14;G
2023-01-07;06:00:00;0.17;G
2023-01-08;06:00:00;0.11;G
2023-01-09;06:00:00;0.00;G
2023-01-10;06:00:00;0.00;G
2023-01-11;06:00:00;0.00;G
2023-01-12;06:00:00;0.00;G
2023-01-13;06:00:00;0.00;G
2023-01-14;06:00:00;0.00;G
2023-01-15;06:00:00;0.00;G
2023-01-16;06:00:00;0.00;G
2023-01-17;06:00:00;0.00;G
2023-01-18;06:00:00;0.00;G
2023-01-19;06:00:00;0.00;G
2023-01-20;06:00:00;0.01;G
2023-01-21;06:00:00;0.00;G
2023-01-22;06:00:00;0.00;G
2023-01-23;06:00:00;0.00;G
2023-01-24;06:00:00;0.00;G
2023-01-25;06:00:00;0.00;G
2023-01-26;06:00:00;0.00;G
2023-01-27;06:00:00;0.00;G
2023-01-28;06:00:00;0.00;G
2023-01-29;06:00:00;0.00;G
2023-01-30;06:00:00;0.00;G
2023-01-31;06:00:00;0.00;G
2023-02-01;06:00:00;0.00;G
2023-02-02;06:00:00;0.00;G
2023-02-03;06:00:00;0.00;G
2023-02-04;06:00:00;0.00;G
2023-02-05;06:00:00;0.00;G
2023-02-06;06:00:00;0.04;G
2023-02-07;06:00:00;0.00;G
2023-02-08;06:00:00;0.00;G
2023-02-09;06:00:00;0.00;G
2023-02-10;06:00:00;0.00;G
2023-02-11;06:00:00;0.00;G
2023-02-12;06:00:00;0.00;G
2023-02-13;06:00:00;0.00;G
2023-02-14;06:00:00;0.00;G
2023-02-15;06:00:00;0.00;G
2023-02-16;06:00:00;0.00;G
2023-02-17;06:00:00;0.00;G
2023-02-18;06:00:00;0.00;G
2023-02-19;06:00:00;0.00;G
2023-02-20;06:00:00;0.00;G
2023-02-21;06:00:00;0.00;G
2023-02-22;06:00:00;0.00;G
2023-02-23;06:00:00;0.01;G
2023-02-24;06:00:00;0.03;G
2023-02-25;06:00:00;0.03;G
2023-02-26;06:00:00;0.02;G
2023-02-27;06:00:00;0.00;G
2023-02-28;06:00:00;0.00;G
2023-03-01;06:00:00;0.00;G
2023-03-02;06:00:00;0.00;G
2023-03-03;06:00:00;0.00;G
2023-03-04;06:00:00;0.00;G
2023-03-05;06:00:00;0.00;G
2023-03-06;06:00:00;0.00;G
2023-03-07;06:00:00;0.00;G
2023-03-08;06:00:00;0.09;G
2023-03-09;06:00:00;0.08;G
2023-03-10;06:00:00;0.05;G
2023-03-11;06:00:00;0.05;G
2023-03-12;06:00:00;0.03;G
2023-03-13;06:00:00;0.03;G
2023-03-14;06:00:00;0.00;G
2023-03-15;06:00:00;0.00;G
2023-03-16;06:00:00;0.00;G
2023-03-17;06:00:00;0.00;G
2023-03-18;06:00:00;0.00;G
2023-03-19;06:00:00;0.00;G
2023-03-20;06:00:00;0.00;G
2023-03-21;06:00:00;0.00;G
2023-03-22;06:00:00;0.00;G
2023-03-23;06:00:00;0.00;G
2023-03-24;06:00:00;0.00;G
2023-03-25;06:00:00;0.00;G
2023-03-26;06:00:00;0.00;G
2023-03-27;06:00:00;0.00;G
2023-03-28;06:00:00;0.00;G
2023-03-29;06:00:00;0.15;G
2023-03-30;06:00:00;0.09;G
2023-03-31;06:00:00;0.05;G
2023-04-01;06:00:00;0.05;G
2023-04-02;06:00:00;0.05;G
2023-04-03;06:00:00;0.00;G
2023-04-04;06:00:00;0.00;G
2023-04-05;06:00:00;0.00;G
2023-04-06;06:00:00;0.00;G
2023-04-07;06:00:00;0.00;G
2023-04-08;06:00:00;0.00;G
2023-04-09;06:00:00;0.00;G
2023-04-10;06:00:00;0.00;G
2023-04-11;06:00:00;0.00;G
2023-04-12;06:00:00;0.00;G
2023-04-13;06:00:00;0.00;G
2023-04-14;06:00:00;0.00;G
2023-04-15;06:00:00;0.00;G
2023-04-16;06:00:00;0.00;G
2023-04-17;06:00:00;0.00;G
2023-04-18;06:00:00;0.00;G
2023-04-19;06:00:00;0.00;G
2023-04-20;06:00:00;0.00;G
2023-04-21;06:00:00;0.00;G
2023-04-22;06:00:00;0.00;G
2023-04-23;06:00:00;0.00;G
2023-04-24;06:00:00;0.00;G
2023-04-25;06:00:00;0.00;G
2023-04-26;06:00:00;0.00;G
2023-04-27;06:00:00;0.00;G
2023-04-28;06:00:00;0.00;G
2023-04-29;06:00:00;0.00;G
2023-04-30;06:00:00;0.00;G
2023-05-01;06:00:00;0.00;G
2023-05-02;06:00:00;0.00;G
2023-05-03;06:00:00;0.00;G
2023-05-04;06:00:00;0.00;G
2023-05-05;06:00:00;0.00;G
2023-05-06;06:00:00;0.00;G
2023-05-07;06:00:00;0.00;G
2023-05-08;06:00:00;0.00;G
2023-05-09;06:00:00;0.00;G
2023-05-10;06:00:00;0.00;G
2023-05-11;06:00:00;0.00;G
2023-05-12;06:00:00;0.00;G
2023-05-13;06:00:00;0.00;G
2023-05-14;06:00:00;0.00;G
2023-05-15;06:00:00;0.00;G
2023-05-16;06:00:00;0.00;G
2023-05-17;06:00:00;0.00;G
2023-05-18;06:00:00;0.00;G
2023-05-19;06:00:00;0.00;G
2023-05-20;06:00:00;0.00;G
2023-05-21;06:00:00;0.00;G
2023-05-22;06:00:00;0.00;G
2023-05-23;06:00:00;0.00;G
2023-05-24;06:00:00;0.00;G
2023-05-25;06:00:00;0.00;G
2023-05-26;06:00:00;0.00;G
2023-05-27;06:00:00;0.00;G
2023-05-28;06:00:00;0.00;G
2023-05-29;06:00:00;0.00;G
2023-05-30;06:00:00;0.00;G
2023-05-31;06:00:00;0.00;G
2023-06-01;06:00:00;0.00;G
2023-06-02;06:00:00;0.00;G
2023-06-03;06:00:00;0.00;G
2023-06-04;06:00:00;0.00;G
2023-06-05;06:00:00;0.00;G
2023-06-06;06:00:00;0.00;G
2023-06-07;06:00:00;0.00;G
2023-06-08;06:00:00;0.00;G
2023-06-09;06:00:00;0.00;G
2023-06-10;06:00:00;0.00;G
2023-06-11;06:00:00;0.00;G
2023-06-12;06:00:00;0.00;G
2023-06-13;06:00:00;0.00;G
2023-06-14;06:00:00;0.00;G
2023-06-15;06:00:00;0.00;G
2023-06-16;06:00:00;0.00;G
2023-06-17;06:00:00;0.00;G
2023-06-18;06:00:00;0.00;G
2023-06-19;06:00:00;0.00;G
2023-06-20;06:00:00;0.00;G
2023-06-21;06:00:00;0.00;G
2023-06-22;06:00:00;0.00;G
2023-06-23;06:00:00;0.00;G
2023-06-24;06:00:00;0.00;G
2023-06-25;06:00:00;0.00;G
2023-06-26;06:00:00;0.00;G
2023-06-27;06:00:00;0.00;G
2023-06-28;06:00:00;0.00;G
2023-06-29;06:00:00;0.00;G
2023-06-30;06:00:00;0.00;G
2023-07-01;06:00:00;0.00;G
2023-07-02;06:00:00;0.00;G
2023-07-03;06:00:00;0.00;G
2023-07-04;06:00:00;0.00;G
2023-07-05;06:00:00;0.00;G
2023-07-06;06:00:00;0.00;G
2023-07-07;06:00:00;0.00;G
2023-07-08;06:00:00;0.00;G
2023-07-09;06:00:00;0.00;G
2023-07-10;06:00:00;0.00;G
2023-07-11;06:00:00;0.00;G
2023-07-12;06:00:00;0.00;G
2023-07-13;06:00:00;0.00;G
2023-07-14;06:00:00;0.00;G
2023-07-15;06:00:00;0.00;G
2023-07-16;06:00:00;0.00;G
2023-07-17;06:00:00;0.00;G
2023-07-18;06:00:00;0.00;G
2023-07-19;06:00:00;0.00;G
2023-07-20;06:00:00;0.00;G
2023-07-21;06:00:00;0.00;G
2023-07-22;06:00:00;0.00;G
2023-07-23;06:00:00;0.00;G
2023-07-24;06:00:00;0.00;G
2023-07-25;06:00:00;0.00;G
2023-07-26;06:00:00;0.00;G
2023-07-27;06:00:00;0.00;G
2023-07-28;06:00:00;0.00;G
2023-07-29;06:00:00;0.00;G
2023-07-30;06:00:00;0.00;G
2023-07-31;06:00:00;0.00;G
2023-08-01;06:00:00;0.00;G
2023-08-02;06:00:00;0.00;G
2023-08-03;06:00:00;0.00;G
2023-08-04;06:00:00;0.00;G
2023-08-05;06:00:00;0.00;G
2023-08-06;06:00:00;0.00;G
2023-08-07;06:00:00;0.00;G
2023-08-08;06:00:00;0.00;G
2023-08-09;06:00:00;0.00;G
2023-08-10;06:00:00;0.00;G
2023-08-11;06:00:00;0.00;G
2023-08-12;06:00:00;0.00;G
2023-08-13;06:00:00;0.00;G
2023-08-14;06:00:00;0.00;G
2023-08-15;06:00:00;0.00;G
2023-08-16;06:00:00;0.00;G
2023-08-17;06:00:00;0.00;G
2023-08-18;06:00:00;0.00;G
2023-08-19;06:00:00;0.00;G
2023-08-20;06:00:00;0.00;G
2023-08-21;06:00:00;0.00;G
2023-08-22;06:00:00;0.00;G
2023-08-23;06:00:00;0.00;G
2023-08-24;06:00:00;0.00;G
2023-08-25;06:00:00;0.00;G
2023-08-26;06:00:00;0.00;G
2023-08-27;06:00:00;0.00;G
2023-08-28;06:00:00;0.00;G
2023-08-29;06:00:00;0.00;G
2023-08-30;06:00:00;0.00;G
2023-08-31;06:00:00;0.00;G
2023-09-01;06:00:00;0.00;G
2023-09-02;06:00:00;0.00;G
2023-09-03;06:00:00;0.00;G
2023-09-04;06:00:00;0.00;G
2023-09-05;06:00:00;0.00;G
2023-09-06;06:00:00;0.00;G
2023-09-07;06:00:00;0.00;G
2023-09-08;06:00:00;0.00;G
2023-09-09;06:00:00;0.00;G
2023-09-10;06:00:00;0.00;G
2023-09-11;06:00:00;0.00;G
2023-09-12;06:00:00;0.00;G
2023-09-13;06:00:00;0.00;G
2023-09-14;06:00:00;0.00;G
2023-09-15;06:00:00;0.00;G
2023-09-16;06:00:00;0.00;G
2023-09-17;06:00:00;0.00;G
2023-09-18;06:00:00;0.00;G
2023-09-19;06:00:00;0.00;G
2023-09-20;06:00:00;0.00;G
2023-09-21;06:00:00;0.00;G
2023-09-22;06:00:00;0.00;G
2023-09-23;06:00:00;0.00;G
2023-09-24;06:00:00;0.00;G
2023-09-25;06:00:00;0.00;G
2023-09-26;06:00:00;0.00;G
2023-09-27;06:00:00;0.00;G
2023-09-28;06:00:00;0.00;G
2023-09-29;06:00:00;0.00;G
2023-09-30;06:00:00;0.00;G
2023-10-01;06:00:00;0.00;G
2023-10-02;06:00:00;0.00;G
2023-10-03;06:00:00;0.00;G
2023-10-04;06:00:00;0.00;G
2023-10-05;06:00:00;0.00;G
2023-10-06;06:00:00;0.00;G
2023-10-07;06:00:00;0.00;G
2023-10-08;06:00:00;0.00;G
2023-10-09;06:00:00;0.00;G
2023-10-10;06:00:00;0.00;G
2023-10-11;06:00:00;0.00;G
2023-10-12;06:00:00;0.00;G
2023-10-13;06:00:00;0.00;G
2023-10-14;06:00:00;0.00;G
2023-10-15;06:00:00;0.00;G
2023-10-16;06:00:00;0.00;G
2023-10-17;06:00:00;0.00;G
2023-10-18;06:00:00;0.00;G
2023-10-19;06:00:00;0.00;G
2023-10-20;06:00:00;0.00;G
2023-10-21;06:00:00;0.00;G
2023-10-22;06:00:00;0.00;G
2023-10-23;06:00:00;0.00;G
2023-10-24;06:00:00;0.00;G
2023-10-25;06:00:00;0.00;G
2023-10-26;06:00:00;0.00;G
2023-10-27;06:00:00;0.00;G
2023-10-28;06:00:00;0.00;G
2023-10-29;06:00:00;0.00;G
2023-10-30;06:00:00;0.00;G
2023-10-31;06:00:00;0.00;G
2023-11-01;06:00:00;0.00;G
2023-11-02;06:00:00;0.00;G
2023-11-03;06:00:00;0.00;G
2023-11-04;06:00:00;0.00;G
2023-11-05;06:00:00;0.00;G
2023-11-06;06:00:00;0.00;G
2023-11-07;06:00:00;0.00;G
2023-11-08;06:00:00;0.00;G
2023-11-09;06:00:00;0.00;G
2023-11-10;06:00:00;0.00;G
2023-11-11;06:00:00;0.00;G
2023-11-12;06:00:00;0.00;G
2023-11-13;06:00:00;0.00;G
2023-11-14;06:00:00;0.00;G
2023-11-15;06:00:00;0.00;G
2023-11-16;06:00:00;0.00;G
2023-11-17;06:00:00;0.00;G
2023-11-18;06:00:00;0.01;G
2023-11-19;06:00:00;0.00;G
2023-11-20;06:00:00;0.00;G
2023-11-21;06:00:00;0.00;G
